,pageNumber,pageSize,previousPage,nextPage,pages,total,data,id,name,iso3,iso2,longitude,latitude
71,2,100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=1&pageSize=100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=3&pageSize=100,3,298,"{'id': 638, 'name': 'Réunion', 'iso3': 'REU', 'iso2': 'RE', 'longitude': 55.53638458251953, 'latitude': -21.115140914916992}",638,Réunion,REU,RE,55.53638458251953,-21.115140914916992
72,2,100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=1&pageSize=100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=3&pageSize=100,3,298,"{'id': 642, 'name': 'Romania', 'iso3': 'ROU', 'iso2': 'RO', 'longitude': 24.966760635375977, 'latitude': 45.943161010742195}",642,Romania,ROU,RO,24.966760635375977,45.943161010742195
73,2,100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=1&pageSize=100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=3&pageSize=100,3,298,"{'id': 643, 'name': 'Russian Federation', 'iso3': 'RUS', 'iso2': 'RU', 'longitude': 105.31875610351564, 'latitude': 61.52400970458984}",643,Russian Federation,RUS,RU,105.31875610351564,61.52400970458984
74,2,100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=1&pageSize=100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=3&pageSize=100,3,298,"{'id': 646, 'name': 'Rwanda', 'iso3': 'RWA', 'iso2': 'RW', 'longitude': 29.87388801574707, 'latitude': -1.9402780532836912}",646,Rwanda,RWA,RW,29.87388801574707,-1.9402780532836912
75,2,100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=1&pageSize=100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=3&pageSize=100,3,298,"{'id': 652, 'name': 'Saint Barthélemy', 'iso3': 'BLM', 'iso2': 'BL', 'longitude': None, 'latitude': None}",652,Saint Barthélemy,BLM,BL,,
76,2,100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=1&pageSize=100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=3&pageSize=100,3,298,"{'id': 654, 'name': 'Saint Helena', 'iso3': 'SHN', 'iso2': 'SH', 'longitude': -5.711528301239014, 'latitude': -15.96560001373291}",654,Saint Helena,SHN,SH,-5.711528301239014,-15.96560001373291
77,2,100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=1&pageSize=100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=3&pageSize=100,3,298,"{'id': 659, 'name': 'Saint Kitts and Nevis', 'iso3': 'KNA', 'iso2': 'KN', 'longitude': -62.782997131347656, 'latitude': 17.35782241821289}",659,Saint Kitts and Nevis,KNA,KN,-62.782997131347656,17.35782241821289
78,2,100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=1&pageSize=100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=3&pageSize=100,3,298,"{'id': 660, 'name': 'Anguilla', 'iso3': 'AIA', 'iso2': 'AI', 'longitude': -63.0686149597168, 'latitude': 18.22055435180664}",660,Anguilla,AIA,AI,-63.0686149597168,18.22055435180664
79,2,100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=1&pageSize=100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=3&pageSize=100,3,298,"{'id': 662, 'name': 'Saint Lucia', 'iso3': 'LCA', 'iso2': 'LC', 'longitude': -60.96665, 'latitude': 13.9066}",662,Saint Lucia,LCA,LC,-60.96665,13.9066
80,2,100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=1&pageSize=100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=3&pageSize=100,3,298,"{'id': 663, 'name': 'Saint Martin (French part)', 'iso3': 'MAF', 'iso2': 'MF', 'longitude': None, 'latitude': None}",663,Saint Martin (French part),MAF,MF,,
81,2,100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=1&pageSize=100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=3&pageSize=100,3,298,"{'id': 666, 'name': 'Saint Pierre and Miquelon', 'iso3': 'SPM', 'iso2': 'PM', 'longitude': -56.31589889526367, 'latitude': 46.88520050048828}",666,Saint Pierre and Miquelon,SPM,PM,-56.31589889526367,46.88520050048828
82,2,100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=1&pageSize=100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=3&pageSize=100,3,298,"{'id': 670, 'name': 'Saint Vincent and the Grenadines', 'iso3': 'VCT', 'iso2': 'VC', 'longitude': -61.19134, 'latitude': 13.24775}",670,Saint Vincent and the Grenadines,VCT,VC,-61.19134,13.24775
83,2,100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=1&pageSize=100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=3&pageSize=100,3,298,"{'id': 674, 'name': 'San Marino', 'iso3': 'SMR', 'iso2': 'SM', 'longitude': 12.45777702331543, 'latitude': 43.942359924316406}",674,San Marino,SMR,SM,12.45777702331543,43.942359924316406
84,2,100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=1&pageSize=100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=3&pageSize=100,3,298,"{'id': 678, 'name': 'Sao Tome and Principe', 'iso3': 'STP', 'iso2': 'ST', 'longitude': 6.613080978393555, 'latitude': 0.18636000156402588}",678,Sao Tome and Principe,STP,ST,6.613080978393555,0.18636000156402588
85,2,100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=1&pageSize=100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=3&pageSize=100,3,298,"{'id': 682, 'name': 'Saudi Arabia', 'iso3': 'SAU', 'iso2': 'SA', 'longitude': 45.07916259765625, 'latitude': 23.885942459106445}",682,Saudi Arabia,SAU,SA,45.07916259765625,23.885942459106445
86,2,100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=1&pageSize=100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=3&pageSize=100,3,298,"{'id': 686, 'name': 'Senegal', 'iso3': 'SEN', 'iso2': 'SN', 'longitude': -14.452362060546877, 'latitude': 14.497401237487791}",686,Senegal,SEN,SN,-14.452362060546877,14.497401237487791
